[ 2015-07-20T09:10:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000472s ]
[ 2015-07-20T09:11:04+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:11:04+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000782s ]
[ 2015-07-20T09:11:04+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000860s ]
[ 2015-07-20T09:11:04+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:11:04+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000524s ]
[ 2015-07-20T09:11:04+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000562s ]
[ 2015-07-20T09:11:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:11:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000744s ]
[ 2015-07-20T09:11:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000806s ]
[ 2015-07-20T09:11:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:11:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000506s ]
[ 2015-07-20T09:11:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000545s ]
[ 2015-07-20T09:11:11+08:00 ] /fweibo/index.php/Index/editStyle | ERR: (ThinkException) 非法操作editStyle
[ 2015-07-20T09:11:11+08:00 ] /fweibo/index.php/Index/editStyle | ERR: (ThinkException) 非法操作editStyle
[ 2015-07-20T09:11:12+08:00 ] /fweibo/index.php/Index/editStyle | ERR: (ThinkException) 非法操作editStyle
[ 2015-07-20T09:11:14+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:11:14+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001058s ]
[ 2015-07-20T09:11:14+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001142s ]
[ 2015-07-20T09:11:14+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:11:14+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000736s ]
[ 2015-07-20T09:11:14+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000795s ]
[ 2015-07-20T09:11:18+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:11:18+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.004415s ]
[ 2015-07-20T09:11:18+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.004608s ]
[ 2015-07-20T09:11:18+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:11:18+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001656s ]
[ 2015-07-20T09:11:18+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001775s ]
[ 2015-07-20T09:11:22+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:11:22+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000798s ]
[ 2015-07-20T09:11:22+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000865s ]
[ 2015-07-20T09:11:22+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:11:22+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000905s ]
[ 2015-07-20T09:11:22+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001106s ]
