[ 2015-07-19T22:55:29+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000496s ]
[ 2015-07-19T22:55:31+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T22:55:31+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.000845s ]
[ 2015-07-19T22:55:31+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000919s ]
[ 2015-07-19T22:55:31+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T22:55:31+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000420s ]
[ 2015-07-19T22:55:31+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000459s ]
[ 2015-07-19T23:01:10+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T23:01:10+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.001785s ]
[ 2015-07-19T23:01:10+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001906s ]
[ 2015-07-19T23:01:10+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T23:01:10+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000866s ]
